arch,workload,layer,cache_type,associativity,size_bytes,inner_dim,layout,line_size,mean_hit_rate,n_samples
loas,resnet19_T4_all,layer_03_layer1_0_shortcut_0,set_associative,4,16384,cout,cin_cout_2d,32,0.135222,5
loas,resnet19_T4_all,layer_03_layer1_0_shortcut_0,set_associative,4,32768,cout,cin_cout_2d,32,0.208249,5
loas,resnet19_T4_all,layer_03_layer1_0_shortcut_0,set_associative,4,65536,cout,cin_cout_2d,32,0.753194,5
loas,resnet19_T4_all,layer_03_layer1_0_shortcut_0,set_associative,16,16384,cout,cin_cout_2d,32,0.187176,5
loas,resnet19_T4_all,layer_03_layer1_0_shortcut_0,set_associative,16,32768,cout,cin_cout_2d,32,0.522011,5
loas,resnet19_T4_all,layer_03_layer1_0_shortcut_0,set_associative,16,65536,cout,cin_cout_2d,32,0.858020,5
loas,resnet19_T4_all,layer_03_layer1_0_shortcut_0,set_associative,32,16384,cout,cin_cout_2d,32,0.170996,5
loas,resnet19_T4_all,layer_03_layer1_0_shortcut_0,set_associative,32,32768,cout,cin_cout_2d,32,0.625333,5
loas,resnet19_T4_all,layer_03_layer1_0_shortcut_0,set_associative,32,65536,cout,cin_cout_2d,32,0.966041,5
loas,resnet19_T4_all,layer_03_layer1_0_shortcut_0,fully_associative,0,16384,cout,cin_cout_2d,32,0.997286,5
loas,resnet19_T4_all,layer_03_layer1_0_shortcut_0,fully_associative,0,32768,cout,cin_cout_2d,32,0.997286,5
loas,resnet19_T4_all,layer_03_layer1_0_shortcut_0,fully_associative,0,65536,cout,cin_cout_2d,32,0.997286,5
loas,resnet19_T4_all,layer_03_layer1_0_shortcut_0,set_associative,4,16384,cout,cin_cout_2d,64,0.260889,5
loas,resnet19_T4_all,layer_03_layer1_0_shortcut_0,set_associative,4,32768,cout,cin_cout_2d,64,0.302811,5
loas,resnet19_T4_all,layer_03_layer1_0_shortcut_0,set_associative,4,65536,cout,cin_cout_2d,64,0.756478,5
loas,resnet19_T4_all,layer_03_layer1_0_shortcut_0,set_associative,16,16384,cout,cin_cout_2d,64,0.252197,5
loas,resnet19_T4_all,layer_03_layer1_0_shortcut_0,set_associative,16,32768,cout,cin_cout_2d,64,0.368855,5
loas,resnet19_T4_all,layer_03_layer1_0_shortcut_0,set_associative,16,65536,cout,cin_cout_2d,64,0.768661,5
loas,resnet19_T4_all,layer_03_layer1_0_shortcut_0,set_associative,32,16384,cout,cin_cout_2d,64,0.251881,5
loas,resnet19_T4_all,layer_03_layer1_0_shortcut_0,set_associative,32,32768,cout,cin_cout_2d,64,0.378429,5
