arch_config,workload,layer,sample_idx,cache_type,associativity,l1_size_bytes,l2_size_bytes,l1_hits,l1_accesses,l1_hit_rate,l2_hits,l2_accesses,l2_hit_rate,overall_hit_rate,n_cores
inst1024_node32kb_noc4096kb,resnet19_T4_all,layer_01_layer1_0_conv1,1,set_associative,4,32768,262144,1093056,3730560,0.2930005146680391,2628864,2637504,0.9967241755841887,0.9976839938239835,1024
inst1024_node32kb_noc4096kb,resnet19_T4_all,layer_01_layer1_0_conv1,1,set_associative,4,32768,524288,1093056,3730560,0.2930005146680391,2628864,2637504,0.9967241755841887,0.9976839938239835,1024
inst1024_node32kb_noc4096kb,resnet19_T4_all,layer_01_layer1_0_conv1,1,set_associative,4,32768,1048576,1093056,3730560,0.2930005146680391,2628864,2637504,0.9967241755841887,0.9976839938239835,1024
inst1024_node32kb_noc4096kb,resnet19_T4_all,layer_01_layer1_0_conv1,2,fully_associative,0,16384,131072,3158976,3293568,0.9591348956511601,128096,134592,0.951735615786971,0.9980276709028021,1024
inst1024_node32kb_noc4096kb,resnet19_T4_all,layer_01_layer1_0_conv1,2,fully_associative,0,16384,262144,3158976,3293568,0.9591348956511601,128096,134592,0.951735615786971,0.9980276709028021,1024
inst1024_node32kb_noc4096kb,resnet19_T4_all,layer_01_layer1_0_conv1,2,fully_associative,0,16384,524288,3158976,3293568,0.9591348956511601,128096,134592,0.951735615786971,0.9980276709028021,1024
inst1024_node32kb_noc4096kb,resnet19_T4_all,layer_01_layer1_0_conv1,2,fully_associative,0,16384,1048576,3158976,3293568,0.9591348956511601,128096,134592,0.951735615786971,0.9980276709028021,1024
inst1024_node32kb_noc4096kb,resnet19_T4_all,layer_01_layer1_0_conv1,2,fully_associative,0,32768,131072,3158976,3293568,0.9591348956511601,128096,134592,0.951735615786971,0.9980276709028021,1024
inst1024_node32kb_noc4096kb,resnet19_T4_all,layer_01_layer1_0_conv1,2,fully_associative,0,32768,262144,3158976,3293568,0.9591348956511601,128096,134592,0.951735615786971,0.9980276709028021,1024
inst1024_node32kb_noc4096kb,resnet19_T4_all,layer_01_layer1_0_conv1,2,fully_associative,0,32768,524288,3158976,3293568,0.9591348956511601,128096,134592,0.951735615786971,0.9980276709028021,1024
inst1024_node32kb_noc4096kb,resnet19_T4_all,layer_01_layer1_0_conv1,2,fully_associative,0,32768,1048576,3158976,3293568,0.9591348956511601,128096,134592,0.951735615786971,0.9980276709028021,1024
inst1024_node32kb_noc4096kb,resnet19_T4_all,layer_01_layer1_0_conv1,2,set_associative,32,16384,131072,746496,3293568,0.2266526757607555,2540576,2547072,0.9974496205839489,0.9980276709028021,1024
inst1024_node32kb_noc4096kb,resnet19_T4_all,layer_01_layer1_0_conv1,2,set_associative,32,16384,262144,746496,3293568,0.2266526757607555,2540576,2547072,0.9974496205839489,0.9980276709028021,1024
inst1024_node32kb_noc4096kb,resnet19_T4_all,layer_01_layer1_0_conv1,2,set_associative,32,16384,524288,746496,3293568,0.2266526757607555,2540576,2547072,0.9974496205839489,0.9980276709028021,1024
inst1024_node32kb_noc4096kb,resnet19_T4_all,layer_01_layer1_0_conv1,2,set_associative,32,16384,1048576,746496,3293568,0.2266526757607555,2540576,2547072,0.9974496205839489,0.9980276709028021,1024
inst1024_node32kb_noc4096kb,resnet19_T4_all,layer_01_layer1_0_conv1,2,set_associative,32,32768,131072,1018368,3293568,0.3091990206365862,2268704,2275200,0.9971448663853727,0.9980276709028021,1024
inst1024_node32kb_noc4096kb,resnet19_T4_all,layer_01_layer1_0_conv1,2,set_associative,32,32768,262144,1018368,3293568,0.3091990206365862,2268704,2275200,0.9971448663853727,0.9980276709028021,1024
inst1024_node32kb_noc4096kb,resnet19_T4_all,layer_01_layer1_0_conv1,2,set_associative,32,32768,524288,1018368,3293568,0.3091990206365862,2268704,2275200,0.9971448663853727,0.9980276709028021,1024
inst1024_node32kb_noc4096kb,resnet19_T4_all,layer_01_layer1_0_conv1,2,set_associative,32,32768,1048576,1018368,3293568,0.3091990206365862,2268704,2275200,0.9971448663853727,0.9980276709028021,1024
inst1024_node32kb_noc4096kb,resnet19_T4_all,layer_01_layer1_0_conv1,2,set_associative,4,16384,131072,783616,3293568,0.2379231277447437,2503456,2509952,0.9974119026977408,0.9980276709028021,1024
inst1024_node32kb_noc4096kb,resnet19_T4_all,layer_01_layer1_0_conv1,2,set_associative,4,16384,262144,783616,3293568,0.2379231277447437,2503456,2509952,0.9974119026977408,0.9980276709028021,1024
inst1024_node32kb_noc4096kb,resnet19_T4_all,layer_01_layer1_0_conv1,2,set_associative,4,16384,524288,783616,3293568,0.2379231277447437,2503456,2509952,0.9974119026977408,0.9980276709028021,1024
inst1024_node32kb_noc4096kb,resnet19_T4_all,layer_01_layer1_0_conv1,2,set_associative,4,16384,1048576,783616,3293568,0.2379231277447437,2503456,2509952,0.9974119026977408,0.9980276709028021,1024
inst1024_node32kb_noc4096kb,resnet19_T4_all,layer_01_layer1_0_conv1,2,set_associative,4,32768,131072,904224,3293568,0.27454238078582255,2382848,2389344,0.9972812621372226,0.9980276709028021,1024
inst1024_node32kb_noc4096kb,resnet19_T4_all,layer_01_layer1_0_conv1,2,set_associative,4,32768,262144,904224,3293568,0.27454238078582255,2382848,2389344,0.9972812621372226,0.9980276709028021,1024
inst1024_node32kb_noc4096kb,resnet19_T4_all,layer_01_layer1_0_conv1,2,set_associative,4,32768,524288,904224,3293568,0.27454238078582255,2382848,2389344,0.9972812621372226,0.9980276709028021,1024
inst1024_node32kb_noc4096kb,resnet19_T4_all,layer_01_layer1_0_conv1,2,set_associative,4,32768,1048576,904224,3293568,0.27454238078582255,2382848,2389344,0.9972812621372226,0.9980276709028021,1024
inst1024_node32kb_noc4096kb,resnet19_T4_all,layer_01_layer1_0_conv1,3,fully_associative,0,16384,131072,3047616,3182208,0.9577048389043079,127616,134592,0.9481692819781264,0.9978078114315595,1024
inst1024_node32kb_noc4096kb,resnet19_T4_all,layer_01_layer1_0_conv1,3,fully_associative,0,16384,262144,3047616,3182208,0.9577048389043079,127616,134592,0.9481692819781264,0.9978078114315595,1024
inst1024_node32kb_noc4096kb,resnet19_T4_all,layer_01_layer1_0_conv1,3,fully_associative,0,16384,524288,3047616,3182208,0.9577048389043079,127616,134592,0.9481692819781264,0.9978078114315595,1024
inst1024_node32kb_noc4096kb,resnet19_T4_all,layer_01_layer1_0_conv1,3,fully_associative,0,16384,1048576,3047616,3182208,0.9577048389043079,127616,134592,0.9481692819781264,0.9978078114315595,1024
inst1024_node32kb_noc4096kb,resnet19_T4_all,layer_01_layer1_0_conv1,3,fully_associative,0,32768,131072,3047616,3182208,0.9577048389043079,127616,134592,0.9481692819781264,0.9978078114315595,1024
