_tag,_sample,run_id,git_commit,arm,tier,arch,n_cores,workload,layer,sample_idx,l1_size_bytes,l1_assoc,l1_num_lines,l1_num_sets,l2_size_bytes,l2_assoc,l2_num_lines,l2_num_sets,line_size_bytes,cin_block,cout_block,weight_bytes,layout,cin_lo_blocks,l1_mshrs,l1_tgts_per_mshr,l2_mshrs,l2_tgts_per_mshr,l1_demand_reserve,prefetch_policy,prefetch_distance,l1_latency,l1_ii,l2_latency,l2_to_l1_latency,l2_miss_latency,l2_banks,l2_ii,dram_ii,core_accept_ii,inclusion,policy,total_cycles,tick_base_total,stretch_cycles,l1_hits,l1_accesses,l1_hit_rate,l2_hits,l2_accesses,l2_hit_rate,dram_accesses,dram_bytes,stall_l1_slot,stall_l1_line,stall_l1_port,stall_l2_slot,stall_l2_line,stall_l2_port,stall_channel,stall_barrier,stall_total,core_stall_sum,fetch_latency_sum,hidden_latency,hidden_fraction,pf_issued,pf_timely,pf_late,pf_wasted,pf_dropped_array_hit,pf_dropped_matching,pf_dropped_no_slot,pf_dropped_targets_full,pf_dropped_reserve,pf_coverage,pf_coverage_ceiling,pf_budget_exhausted,pf_pollution_evictions,padding_fraction,port_bound_threshold,l1_mshr_occ_p50,l1_mshr_occ_p95,l1_mshr_occ_max,l2_mshr_occ_p50,l2_mshr_occ_p95,l2_mshr_occ_max,max_wait_depth,hits_downgraded_to_miss,events,events_per_cycle,sim_wall_seconds,distinct_addr_per_core_tile_p50,distinct_addr_per_core_tile_max
R9,1,ctl-R9-s1-split_cin,26ef6f0,cache,layout_control,loas,16,resnet19_T4_n5,layer_09_layer2_0_conv2,1,16384,8,256,32,524288,16,8192,512,64,16,4,1,split_cin,32,16,20,32,12,1,none,0,0,1,2,0,24,1,1,1,1,non_inclusive,lru,273226,66910,206316,922944,1070560,0.862113,38368,147616,0.259918,109248,6991872,0,0,0,0,0,412624,2856374,34106,3303104,3268998,3268998,0,0.000000,0,0,0,0,0,0,0,0,0,0.000000,0.998087,0,0,0.062934,3.309281,1,1,1,11,15,16,0,0,2545728,9.317298,0.384110,542,768
R9,2,ctl-R9-s2-block_pack,26ef6f0,cache,layout_control,loas,16,resnet19_T4_n5,layer_09_layer2_0_conv2,2,16384,8,256,32,524288,16,8192,512,64,16,4,1,block_pack,-1,16,20,32,12,1,none,0,0,1,2,0,24,1,1,1,1,non_inclusive,lru,252364,68358,184006,846912,1093728,0.774335,242208,246816,0.981330,4608,294912,0,0,0,0,0,2754934,122120,69090,2946144,2877054,2877054,0,0.000000,0,0,0,0,0,0,0,0,0,0.000000,0.998128,0,0,0.111979,5.415957,1,1,1,11,15,16,0,0,2685824,10.642659,0.405341,600,738
R9,2,ctl-R9-s2-khkw_split,26ef6f0,cache,layout_control,loas,16,resnet19_T4_n5,layer_09_layer2_0_conv2,2,16384,8,256,32,524288,16,8192,512,64,16,4,1,khkw_split,-1,16,20,32,12,1,none,0,0,1,2,0,24,1,1,1,1,non_inclusive,lru,75996,68358,7638,1089120,1093728,0.995787,0,4608,0.000000,4608,294912,0,0,0,0,0,0,121008,3248,124256,121008,121008,0,0.000000,0,0,0,0,0,0,0,0,0,0.000000,0.998128,0,0,0.111979,0.101115,1,1,1,11,15,16,0,0,2201408,28.967419,0.306073,600,738
R9,2,ctl-R9-s2-split_cin,26ef6f0,cache,layout_control,loas,16,resnet19_T4_n5,layer_09_layer2_0_conv2,2,16384,8,256,32,524288,16,8192,512,64,16,4,1,split_cin,32,16,20,32,12,1,none,0,0,1,2,0,24,1,1,1,1,non_inclusive,lru,274358,68358,206000,946272,1093728,0.865180,38624,147456,0.261936,108832,6965248,0,0,0,0,0,414552,2847058,36438,3298048,3261610,3261610,0,0.000000,0,0,0,0,0,0,0,0,0,0.000000,0.998128,0,0,0.111979,3.235671,1,1,1,11,15,16,0,0,2591328,9.445061,0.391491,600,738
R9,3,ctl-R9-s3-block_pack,26ef6f0,cache,layout_control,loas,16,resnet19_T4_n5,layer_09_layer2_0_conv2,3,16384,8,256,32,524288,16,8192,512,64,16,4,1,block_pack,-1,16,20,32,12,1,none,0,0,1,2,0,24,1,1,1,1,non_inclusive,lru,253044,78954,174090,1016416,1263264,0.804595,242240,246848,0.981333,4608,294912,0,0,0,0,0,2592528,121504,73456,2787488,2714032,2714032,0,0.000000,0,0,0,0,0,0,0,0,0,0.000000,0.998379,0,0,0.006076,4.689718,1,1,1,11,15,16,0,0,3024960,11.954285,0.460131,630,844
R9,3,ctl-R9-s3-khkw_split,26ef6f0,cache,layout_control,loas,16,resnet19_T4_n5,layer_09_layer2_0_conv2,3,16384,8,256,32,524288,16,8192,512,64,16,4,1,khkw_split,-1,16,20,32,12,1,none,0,0,1,2,0,24,1,1,1,1,non_inclusive,lru,86562,78954,7608,1258656,1263264,0.996352,0,4608,0.000000,4608,294912,0,0,0,0,0,0,120768,3008,123776,120768,120768,0,0.000000,0,0,0,0,0,0,0,0,0,0.000000,0.998379,0,0,0.006076,0.087545,1,1,1,11,15,16,0,0,2540480,29.348675,0.351280,630,844
R9,3,ctl-R9-s3-split_cin,26ef6f0,cache,layout_control,loas,16,resnet19_T4_n5,layer_09_layer2_0_conv2,3,16384,8,256,32,524288,16,8192,512,64,16,4,1,split_cin,32,16,20,32,12,1,none,0,0,1,2,0,24,1,1,1,1,non_inclusive,lru,283750,78954,204796,1115712,1263264,0.883198,38144,147552,0.258512,109408,7002112,0,0,0,0,0,386940,2859576,32268,3278784,3246516,3246516,0,0.000000,0,0,0,0,0,0,0,0,0,0.000000,0.998379,0,0,0.006076,2.803253,1,1,1,11,15,16,0,0,2931168,10.330107,0.440736,630,844
R9,4,ctl-R9-s4-block_pack,26ef6f0,cache,layout_control,loas,16,resnet19_T4_n5,layer_09_layer2_0_conv2,4,16384,8,256,32,524288,16,8192,512,64,16,4,1,block_pack,-1,16,20,32,12,1,none,0,0,1,2,0,24,1,1,1,1,non_inclusive,lru,253682,85106,168576,1114144,1361696,0.818203,242944,247552,0.981386,4608,294912,0,0,0,0,0,2502476,121986,74802,2699264,2624462,2624462,0,0.000000,0,0,0,0,0,0,0,0,0,0.000000,0.998496,0,0,0.011719,4.363124,1,1,1,11,15,16,0,0,3223232,12.705797,0.491964,735,966
R9,4,ctl-R9-s4-khkw_split,26ef6f0,cache,layout_control,loas,16,resnet19_T4_n5,layer_09_layer2_0_conv2,4,16384,8,256,32,524288,16,8192,512,64,16,4,1,khkw_split,-1,16,20,32,12,1,none,0,0,1,2,0,24,1,1,1,1,non_inclusive,lru,92744,85106,7638,1357088,1361696,0.996616,0,4608,0.000000,4608,294912,0,0,0,0,0,0,121008,3248,124256,121008,121008,0,0.000000,0,0,0,0,0,0,0,0,0,0.000000,0.998496,0,0,0.011719,0.081216,1,1,1,11,15,16,0,0,2737344,29.515052,0.382225,735,966
R9,4,ctl-R9-s4-split_cin,26ef6f0,cache,layout_control,loas,16,resnet19_T4_n5,layer_09_layer2_0_conv2,4,16384,8,256,32,524288,16,8192,512,64,16,4,1,split_cin,32,16,20,32,12,1,none,0,0,1,2,0,24,1,1,1,1,non_inclusive,lru,292668,85106,207562,1212000,1361696,0.890067,38144,149696,0.254810,111552,7139328,0,0,0,0,0,378024,2913998,31018,3323040,3292022,3292022,0,0.000000,0,0,0,0,0,0,0,0,0,0.000000,0.998496,0,0,0.011719,2.638404,1,1,1,10,15,16,0,0,3134464,10.709965,0.489559,735,966
