_tag,_sample,_config,_banks,run_id,git_commit,arm,tier,arch,n_cores,workload,layer,sample_idx,l1_size_bytes,l1_assoc,l1_num_lines,l1_num_sets,l2_size_bytes,l2_assoc,l2_num_lines,l2_num_sets,line_size_bytes,cin_block,cout_block,weight_bytes,layout,cin_lo_blocks,l1_mshrs,l1_tgts_per_mshr,l2_mshrs,l2_tgts_per_mshr,l1_demand_reserve,prefetch_policy,prefetch_distance,l1_latency,l1_ii,l2_latency,l2_to_l1_latency,l2_miss_latency,l2_banks,l2_ii,dram_ii,core_accept_ii,inclusion,policy,total_cycles,tick_base_total,stretch_cycles,l1_hits,l1_accesses,l1_hit_rate,l2_hits,l2_accesses,l2_hit_rate,dram_accesses,dram_bytes,stall_l1_slot,stall_l1_line,stall_l1_port,stall_l2_slot,stall_l2_line,stall_l2_port,stall_channel,stall_barrier,stall_total,core_stall_sum,fetch_latency_sum,hidden_latency,hidden_fraction,pf_issued,pf_timely,pf_late,pf_wasted,pf_dropped_array_hit,pf_dropped_matching,pf_dropped_no_slot,pf_dropped_targets_full,pf_dropped_reserve,pf_coverage,pf_coverage_ceiling,pf_budget_exhausted,pf_pollution_evictions,padding_fraction,port_bound_threshold,l1_mshr_occ_p50,l1_mshr_occ_p95,l1_mshr_occ_max,l2_mshr_occ_p50,l2_mshr_occ_p95,l2_mshr_occ_max,max_wait_depth,hits_downgraded_to_miss,events,events_per_cycle,sim_wall_seconds,distinct_addr_per_core_tile_p50,distinct_addr_per_core_tile_max
R16,1,C6,4,w5d-R16-s1-C6-b4,,cache,baseline,loas,16,resnet19_T4_n5,layer_16_layer3_0_conv2,1,16384,8,256,32,524288,16,8192,512,64,4,16,1,split_cin,32,16,20,20,12,1,next_burst,4,0,1,8,0,24,4,1,1,1,non_inclusive,lru,1246268,125280,1120988,1315063,2004480,0.656062,64,1292,0.049536,769424,49243136,0,0,707033,22760,0,17076315,24034,106690,17936832,17830142,45839424,28009282,0.611030,2003456,103431,688441,0,22960,1188624,0,0,0,0.395051,0.999489,0,0,0.131510,33.018056,2,3,5,15,16,20,42,0,9128526,7.324689,5.750509,1875,2873
R16,1,C6,8,w5d-R16-s1-C6-b8,,cache,baseline,loas,16,resnet19_T4_n5,layer_16_layer3_0_conv2,1,16384,8,256,32,524288,16,8192,512,64,4,16,1,split_cin,32,16,20,20,12,1,next_burst,4,0,1,8,0,24,8,1,1,1,non_inclusive,lru,1244769,125280,1119489,1310888,2004480,0.653979,64,1292,0.049536,769424,49243136,0,0,701032,22760,0,17062129,24034,102893,17912848,17809955,45800971,27991016,0.611145,2003456,99256,692616,0,22982,1188602,0,0,0,0.395051,0.999489,0,0,0.131510,66.436015,2,3,5,14,17,20,42,0,9127501,7.332687,5.727977,1875,2873
R16,2,C5,2,w5d-R16-s2-C5-b2,,cache,baseline,loas,16,resnet19_T4_n5,layer_16_layer3_0_conv2,2,16384,8,1024,128,524288,16,32768,2048,16,1,16,1,split_cin,128,16,20,20,12,1,next_burst,4,0,1,8,0,24,2,1,1,1,non_inclusive,lru,2509635,126572,2383063,668353,2025152,0.330026,112,1262,0.088748,1535856,24573696,0,0,276575,24061,0,37698485,23542,107369,38130032,38022663,195171635,157148972,0.805183,2024128,603009,1355823,0,65296,0,0,0,0,0.967252,0.999494,0,0,0.000000,32.158748,4,5,5,15,16,20,58,0,13019505,5.187808,7.731640,1904,2925
R16,2,C5,4,w5d-R16-s2-C5-b4,,cache,baseline,loas,16,resnet19_T4_n5,layer_16_layer3_0_conv2,2,16384,8,1024,128,524288,16,32768,2048,16,1,16,1,split_cin,128,16,20,20,12,1,next_burst,4,0,1,8,0,24,4,1,1,1,non_inclusive,lru,2465700,126572,2339128,659016,2025152,0.325416,112,1433,0.078158,1535856,24573696,0,0,285384,37803,0,36995961,16401,91523,37427072,37335549,191891426,154555877,0.805434,2024128,593672,1365160,0,65296,0,0,0,0,0.967252,0.999494,0,0,0.000000,64.760105,4,5,5,15,16,20,60,0,13040230,5.288652,7.461023,1904,2925
R16,2,C5,8,w5d-R16-s2-C5-b8,,cache,baseline,loas,16,resnet19_T4_n5,layer_16_layer3_0_conv2,2,16384,8,1024,128,524288,16,32768,2048,16,1,16,1,split_cin,128,16,20,20,12,1,next_burst,4,0,1,8,0,24,8,1,1,1,non_inclusive,lru,2462122,126572,2335550,631035,2025152,0.311599,112,1484,0.075472,1535856,24573696,0,0,279497,47747,0,36953767,14279,74534,37369824,37295290,191695207,154399917,0.805445,2024128,565691,1393141,0,65296,0,0,0,0,0.967252,0.999494,0,0,0.000000,132.173024,4,5,5,15,16,20,60,0,13041719,5.296943,7.684838,1904,2925
R16,2,C6,2,w5d-R16-s2-C6-b2,,cache,baseline,loas,16,resnet19_T4_n5,layer_16_layer3_0_conv2,2,16384,8,256,32,524288,16,8192,512,64,4,16,1,split_cin,32,16,20,20,12,1,next_burst,4,0,1,8,0,24,2,1,1,1,non_inclusive,lru,1265013,126572,1138441,1342693,2025152,0.663009,64,1233,0.051906,774688,49580032,0,0,737474,17813,0,17333749,26648,100396,18216080,18115684,46400166,28284482,0.609577,2024128,115781,681483,0,23048,1203816,0,0,0,0.393681,0.999494,0,0,0.139540,16.175592,2,3,5,15,16,20,39,0,9214338,7.283987,5.075969,1904,2925
R16,2,C6,4,w5d-R16-s2-C6-b4,,cache,baseline,loas,16,resnet19_T4_n5,layer_16_layer3_0_conv2,2,16384,8,256,32,524288,16,8192,512,64,4,16,1,split_cin,32,16,20,20,12,1,next_burst,4,0,1,8,0,24,4,1,1,1,non_inclusive,lru,1254808,126572,1128236,1325801,2025152,0.654667,64,1292,0.049536,774688,49580032,0,0,713005,22480,0,17185544,24111,107660,18052800,17945140,45905976,27960836,0.609089,2024128,98889,698375,0,21248,1205616,0,0,0,0.393681,0.999494,0,0,0.139540,33.151929,2,3,5,15,16,20,39,0,9212851,7.342040,4.693261,1904,2925
R16,2,C6,8,w5d-R16-s2-C6-b8,,cache,baseline,loas,16,resnet19_T4_n5,layer_16_layer3_0_conv2,2,16384,8,256,32,524288,16,8192,512,64,4,16,1,split_cin,32,16,20,20,12,1,next_burst,4,0,1,8,0,24,8,1,1,1,non_inclusive,lru,1253276,126572,1126704,1318776,2025152,0.651199,64,1292,0.049536,774688,49580032,0,0,702004,22480,0,17174340,24111,105353,18028288,17922935,45851031,27928096,0.609105,2024128,91864,705400,0,21742,1205122,0,0,0,0.393681,0.999494,0,0,0.139540,66.969883,2,3,5,14,17,20,40,0,9210668,7.349273,5.434778,1904,2925
R16,3,C5,2,w5d-R16-s3-C5-b2,,cache,baseline,loas,16,resnet19_T4_n5,layer_16_layer3_0_conv2,3,16384,8,1024,128,524288,16,32768,2048,16,1,16,1,split_cin,128,16,20,20,12,1,next_burst,4,0,1,8,0,24,2,1,1,1,non_inclusive,lru,2517246,126012,2391234,659570,2016192,0.327137,304,1218,0.249589,1538112,24609792,0,0,265635,15560,0,37845917,21312,112344,38260768,38148424,196155243,158006819,0.805519,2015168,598354,1355598,0,61216,0,0,0,0,0.969130,0.999492,0,0,0.000000,32.297448,4,5,5,15,16,20,57,0,12991913,5.161161,6.503106,1914,2968
R16,3,C5,4,w5d-R16-s3-C5-b4,,cache,baseline,loas,16,resnet19_T4_n5,layer_16_layer3_0_conv2,3,16384,8,1024,128,524288,16,32768,2048,16,1,16,1,split_cin,128,16,20,20,12,1,next_burst,4,0,1,8,0,24,4,1,1,1,non_inclusive,lru,2469920,126012,2343908,640754,2016192,0.317804,304,1388,0.219020,1538112,24609792,0,0,275423,29665,0,37091487,14304,92673,37503552,37410879,192635352,155224473,0.805794,2015168,579538,1374414,0,61216,0,0,0,0,0.969130,0.999492,0,0,0.000000,65.490810,4,5,5,15,16,20,60,0,13008933,5.266945,6.559374,1914,2968
